CellLineName,OncotreePrimaryDisease,OncotreeSubtype,DiseaseGroup,ATP6V1B2
JURL-MK1,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",MPN/CML,-3.233030634826214
EOL-1,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,-3.1531445824794577
TF-1,Acute Myeloid Leukemia,"AML, NOS",AML,-3.126008625022296
ARH-77,Non-Cancerous,Immortalized Blood,Other myeloid,-3.1258424191524874
HEL,Acute Myeloid Leukemia,"AML, NOS",AML,-3.1088717320116306
OCI-M2,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,-3.098213923644433
KU812,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",MPN/CML,-2.9608996595572243
AML-193,Acute Myeloid Leukemia,AML with Myelodysplasia-Related Changes,AML,-2.885013551816702
KYO-1,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",MPN/CML,-2.8309426275356597
HEL 92.1.7,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,-2.821905867551924
MUTZ-8,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,-2.8148950385260365
HD-MY-Z,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,-2.747559119451295
